subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,avg_median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg (m),dist_to_stream_stdev (m),lu_21_area,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr24ha_am,orb25yr24ha_am,orb2yr24ha_am,orb50yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
51402010501,81.22,51.94,0.38,78.50,7.09,15.76,0.60,0.19,3.06,0.00,0.02,11.63,26.00,0.00,0.00,2.03,4.00,8.00,154.81,9.70,"10,515.00",151.11,"60,827.50",15.33,-238.00,39.35,"1,847.80",888.36,5.75,0.82,0.28,0.09,26.40,22.98,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","28,238.79","4,278.44"
51402010902,53.55,40.24,0.42,88.82,5.83,12.15,0.64,0.26,3.14,0.01,0.02,6.45,15.00,0.00,0.00,1.17,1.00,7.00,109.15,8.00,"11,085.00",235.58,"64,163.50",8.97,19.00,40.75,"1,727.84",871.99,2.86,0.95,0.58,0.19,10.13,22.16,1.92,"7,087.40","5,556.57","2,973.60","6,302.64","36,962.21","15,662.72"
51402010907,85.24,65.95,0.25,83.01,8.34,21.29,0.05,0.37,5.32,0.00,0.03,10.65,17.00,0.00,0.00,4.92,0.00,10.00,113.40,9.22,"17,536.00","21,255.85","62,044.75",167.27,-26.00,41.30,893.23,501.33,3.13,0.49,0.08,0.03,24.61,27.34,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","24,083.23","17,309.74"
51402010908,123.79,68.74,0.33,56.53,5.28,13.46,0.07,50.43,235.37,0.00,2.85,25.37,40.00,0.00,0.00,2.61,1.00,27.00,195.38,12.19,"9,659.00","12,554.12","59,965.00",443.21,732.00,42.63,"1,358.23",732.93,4.97,0.88,0.18,0.01,37.48,57.39,0.57,"7,143.97","5,589.25","2,984.20","6,346.13","14,412.42","6,252.57"
71200010502,68.14,60.08,0.24,37.10,3.47,15.44,0.44,0.25,3.50,0.00,0.01,3.83,82.00,0.07,41.00,1.71,0.00,11.00,202.60,25.65,"24,505.00",670.94,"51,922.50",63.82,-261.00,42.93,912.91,796.99,6.89,6.36,1.51,0.77,8.31,34.73,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","37,197.09","8,582.13"
71200010602,51.17,40.68,0.39,19.49,1.16,10.17,0.79,0.49,2.02,0.00,0.01,0.00,0.00,0.00,0.00,6.58,0.00,2.00,211.20,0.00,"8,860.00",173.15,"53,627.67",14.15,-684.00,41.60,865.10,516.57,1.79,2.03,0.22,0.02,10.84,24.04,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","17,181.58","23,632.59"
71200010703,66.97,46.91,0.38,19.49,1.16,11.37,0.58,1.62,3.83,0.00,0.03,34.48,122.00,0.00,0.00,0.39,0.00,6.00,245.87,14.76,"6,372.00",188.79,"52,547.50",7.17,57.00,38.50,450.17,253.23,3.35,1.40,0.36,0.08,4.61,53.90,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","27,942.49","2,902.56"
71200010802,52.01,47.80,0.29,16.03,1.06,18.36,0.44,6.72,6.48,0.00,0.11,44.73,146.00,0.00,0.00,0.08,0.00,10.00,50.82,3.39,"3,804.00",73.14,"62,100.00",2.38,226.00,40.50,80.43,56.33,0.90,0.85,0.05,0.00,0.59,45.57,0.73,"6,810.52","5,195.34","2,614.61","5,973.84","20,382.24","18,532.47"
71200011306,81.09,59.96,0.28,58.01,3.54,20.08,0.46,0.42,5.95,0.00,0.02,12.67,250.00,0.31,107.00,5.79,3.00,19.00,294.71,16.27,"48,878.00",720.96,"74,185.50",63.60,"2,295.00",40.16,"1,093.70",788.00,6.11,14.24,2.82,0.66,10.88,26.39,9.34,"7,600.01","5,726.24","2,817.99","6,624.67","21,593.43","18,142.84"
71200021301,61.69,45.06,0.38,27.60,1.61,9.51,0.93,0.60,1.47,0.00,0.02,0.00,0.00,0.00,0.00,0.32,0.00,2.00,69.11,3.00,"3,025.00",49.03,"49,884.00",0.84,-148.00,39.50,588.11,396.28,0.79,1.43,0.05,0.00,3.91,51.74,0.98,"6,860.07","5,289.28","2,718.49","6,049.59",0.00,0.00
