ws_id,ws_fraction,policy_total_building_coverage_avgw,policy_total_contents_coverage_avgw,policy_total_insurance_premium_avgw,claims_amt_paid_building_avgw,claims_amt_paid_contents_avgw,claims_total_building_insurance_coverage_avgw,claims_total_contents_insurance_coverage_avgw,policy_total_building_coverage_sum,policy_total_contents_coverage_sum,policy_total_insurance_premium_sum,claims_amt_paid_building_sum,claims_amt_paid_contents_sum,claims_total_building_insurance_coverage_sum,claims_total_contents_insurance_coverage_sum,NAME_cnty
051201060104,1.0,24502.1547,3780.273757,139.2249555,2050.3828550000003,365.34730110000004,13825.338909999999,3647.779253,88308554.01,11192433.24,493926.0772,204224.41199999998,34406.00339,1358329.4340000001,356098.6072,Kosciusko
051201060105,1.0,28430.35905,3206.848534,171.02764,1879.763659,253.54302400000003,17406.41709,4718.589473,178289645.8,19162995.01,1069185.66,243839.9112,35662.23487,2003588.874,537033.0811,Kosciusko
051201060201,1.0,17034.85692,3662.3417289999998,115.4680756,910.6093884,223.12559559999997,10205.66072,2991.648173,51085005.42,7522877.347,268945.6481,101825.2702,19238.57065,702031.5791,190265.8566,Kosciusko
051201060202,1.0,35913.425639999994,5205.775757,189.239001,3005.103333,545.127187,20024.522230000002,5331.315778,123622373.8,17955697.7,649182.4009,287622.5574,51043.4438,1893253.757,497546.1447,Kosciusko
051201060203,1.0,65678.80612000001,9952.2393,336.2517097,5193.862379,1343.696743,55299.46026,17211.187530000003,127562341.6,19496717.09,654646.7859,82223.38652999999,19817.788780000003,893449.2589,269410.5355,Kosciusko
051201060204,1.0,34016.358980000005,5159.416778,196.53369419999999,1170.4284380000001,185.2594121,11892.53977,3268.084048,58645898.96,9007858.768,324469.0133,58380.87248,10107.44725,651782.4355,177624.3455,Kosciusko
051201060205,1.0,22473.063680000003,3628.769032,128.3543739,1695.131605,301.286586,13257.57793,3867.2685979999997,67703076.48,10159192.92,366477.7833,182200.9963,31835.137310000002,1281331.852,348834.1107,Kosciusko
051201060301,1.0,23614.74472,1711.751602,186.7694209,1406.405599,163.0932908,10344.25463,3182.548688,11181378.39,963052.3372,84410.92545,11440.65323,1588.875443,107938.8302,33867.98959,Kosciusko
051201060302,1.0,35957.08956,6907.731831,190.46706919999997,512.6043388999999,89.19944376,6606.491717,1868.7929190000002,36800821.74,6445541.927,198647.8852,44180.47734,7414.58771,534396.4813,147924.5148,Kosciusko
051201060303,1.0,32533.080360000004,5215.950697,183.75676919999998,1683.508201,694.0169525,54443.10795,21759.91429,6713904.396000001,1124302.742,36855.96615,10852.24598,3213.7161690000003,248750.7011,91418.26597000001,Kosciusko
051201060304,1.0,36623.455330000004,12955.32905,509.7592461,148.3470845,5.214094718,1019.937181,404.4578474,4323604.296,1481497.5690000001,55007.63766,3687.4558420000003,129.606484,25352.525990000002,10053.58789,Marshall
051201060305,1.0,47484.50501,10350.338109999999,247.43319580000002,47.26866939,13.84681586,1148.524248,459.0518737,7110223.042,1578795.8909999998,38888.19496,2293.5518899999997,422.14608799999996,38850.9895,15507.400480000002,Kosciusko
051201060401,1.0,56784.85731,16376.351169999998,175.7542493,3407.806274,136.91501440000002,24588.0643,9755.506009,3359882.307,925665.6476,11262.23458,20455.66891,1098.2854960000002,166274.9876,66048.77575,Kosciusko
051201060402,1.0,2969.76546,896.5613553,13.13755074,34.99027011,1.2298359840000002,240.57013030000002,95.39849995,456243.5146,133812.3494,1552.0727029999998,2375.1291899999997,83.48090299,16329.829319999999,6475.621972999999,Marshall
051201060403,1.0,19410.66724,3025.684659,111.8503453,789.8027302,279.7000332,31669.05274,11323.20141,7908360.819,953930.7528,51951.03323,9916.194489,2128.324234,223297.3322,82617.38947000001,Kosciusko
051201060404,1.0,27757.965780000002,10449.3379,85.3429983,559.9473602999999,0.325741726,74383.63695,29753.23685,540663.5717,192217.3131,1670.494567,1407.734786,32.42154943,85171.49265,34049.377660000006,Kosciusko
051201060405,1.0,27825.96385,8085.864656000001,85.98703878,1665.3084,58.53216304,11449.56748,4540.345726,1835690.2780000002,543201.7345,7339.083987000001,10975.53285,385.767392,75460.55976,29924.01508,Marshall
051201060406,1.0,16733.53226,5215.7651670000005,76.87876672,32.32327152,8.935510000000001e-05,4361.506783,1744.6026530000001,283884.7568,94421.425,1161.32808,171.8043505,0.522450768,21280.31488,8511.773547,Fulton
051201060407,1.0,19650.02179,2189.883096,129.6430768,53.52218218,8.987538234,38848.14976,9935.503211,5480289.163,590102.6438,36430.739539999995,2553.589953,505.69013330000007,82547.26871,23942.18922,Fulton
051201060408,1.0,33359.89321,12555.98314,104.80399129999999,673.9651912,8.081625204,87276.61726,34868.98155,3492545.793,1254453.648,17071.058930000003,18003.7235,4545.315306,264394.7822,97392.93992,Fulton
051201060409,1.0,16699.815759999998,5142.762967000001,78.18003764,15.00735484,0.004393683,2023.355076,809.3373755,251438.3744,80603.62964,1120.3403210000001,306.1338286,64.307929,14997.60066,5930.909547,Fulton
051201060502,1.0,42385.24329,17112.04132,210.9586861,1747.311624,451.9990598,14896.89528,5187.316484,18553096.52,7477565.073,92562.50675,137868.9669,36154.55661,1183936.06,412447.4286,Fulton
051201060503,1.0,31342.724060000004,12549.30298,75.7441205,126.89982109999998,33.24345247,1090.855866,379.9417499,5893991.51,2376109.235,26629.46146,36012.13947,9462.684752,310378.3803,108120.4966,Fulton
051201060504,1.0,14021.72015,5565.807517,71.55533855,587.5419912000001,159.6458881,4862.508443,1691.8808210000002,10265043.82,3940162.099,54864.97474,83600.39901000001,23036.05195,674367.575,234439.3312,Fulton
